,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1585,600186,莲花健康,0.0139,0.005,,0.005,0.5065
1586,601607,上海医药,0.0135,0.0102,0.3832,0.0183,1.9724
1587,002615,哈尔斯,0.0134,0.0059,0.2216,0.0134,2.1877
1588,002416,爱施德,0.0133,0.0361,3.2618,0.0791,9.3556
1589,300018,中元股份,0.013,0.0013,0.0609,0.0177,2.3109
1590,603609,禾丰牧业,0.013,0.014,0.3206,0.0398,3.9872
1591,600313,农发种业,0.0127,0.0071,2.6233,0.0198,2.3085
1592,600405,动力源,0.0126,0.0024,,0.0034,0.4009
1593,600702,沱牌舍得,0.0124,0.0026,0.418,0.0066,0.6603
1594,300176,鸿特精密,0.0119,0.0047,0.3268,0.0071,0.9115
1595,600089,特变电工,0.0118,0.0027,0.1511,0.0041,0.519
1596,600841,上柴股份,0.0116,0.0028,0.2904,0.0074,0.8162
1597,601669,中国电建,0.0114,0.0027,0.3066,0.0033,0.5691
1598,002430,杭氧股份,0.0112,0.0026,,0.0044,0.8152
1599,000510,金路集团,0.0105,0.0049,1.245,0.0114,1.2169
1600,000930,中粮生化,0.0104,0.0043,3.7139,0.0057,0.7131
1601,002309,中利科技,0.0103,0.0022,,0.0029,0.3678
1602,600487,亨通光电,0.0101,0.0047,0.1635,0.007,0.8291
1603,002218,拓日新能,0.0101,0.0013,0.1113,0.0029,0.4935
1604,002141,蓉胜超微,0.0097,0.0025,1.0068,0.0336,3.3853
1605,000587,金洲慈航,0.0096,0.0019,0.0976,0.0027,0.3708
1606,002258,利尔化学,0.0093,0.0029,0.0823,0.0117,1.7989
1607,002259,升达林业,0.0093,0.0015,0.3129,0.003,0.5017
1608,600518,康美药业,0.0092,0.0022,0.0588,0.0051,0.6983
1609,603726,朗迪集团,0.0091,0.0032,0.1,0.0103,1.2353
1610,600320,振华重工,0.0089,0.0017,0.7835,0.0023,0.2539
1611,600203,福日电子,0.0088,0.0061,1.4777,0.0121,1.3026
1612,603703,盛洋科技,0.0086,0.0023,0.1517,0.0063,0.6283
1613,000715,中兴商业,0.0083,0.0049,0.43,0.0108,1.5153
1614,600006,东风汽车,0.0082,0.0028,0.3638,0.0048,0.541
1615,600271,航天信息,0.008,0.0058,0.0981,0.0157,2.5733
1616,601233,桐昆股份,0.008,0.0048,0.2562,0.0108,1.306
1617,002493,荣盛石化,0.0077,0.0032,0.1904,0.0046,0.6201
1618,600546,*ST山煤,0.0077,0.0034,,0.0039,0.4643
1619,000009,中国宝安,0.0075,0.0011,0.1042,0.0018,0.2627
1620,600617,国新能源,0.0073,0.0013,0.0855,0.0016,0.3276
1621,600362,江西铜业,0.0073,0.0071,1.1635,0.0148,1.5222
1622,000533,万家乐,0.0072,0.0033,0.2183,0.0066,0.7732
1623,002216,三全食品,0.007,0.0054,0.2839,0.0129,1.5335
1624,002386,天原集团,0.007,0.0031,,0.0045,0.6351
1625,600976,健民集团,0.0065,0.0046,0.1818,0.0118,1.2046
1626,600153,建发股份,0.0061,0.0028,0.3041,0.0036,0.4679
1627,002163,中航三鑫,0.0061,0.0018,,0.0023,0.2931
1628,300252,金信诺,0.006,0.0023,0.0467,0.0037,0.3851
1629,600993,马应龙,0.0059,0.0022,0.0368,0.0095,0.9727
1630,600865,百大集团,0.0056,0.0016,0.0459,0.0117,1.5396
1631,600399,抚顺特钢,0.0055,0.0011,0.1264,0.0013,0.1345
1632,002360,同德化工,0.0055,0.0009,0.0357,0.0042,0.5706
1633,600986,科达股份,0.0054,0.0018,0.1086,0.0035,0.353
1634,300028,金亚科技,0.005,0.0007,0.0697,0.0016,0.16
1635,300319,麦捷科技,0.005,0.0014,0.0696,0.0033,0.3801
1636,600086,东方金钰,0.0049,0.0022,0.1011,0.0034,0.4152
1637,002284,亚太股份,0.0048,0.0018,0.0781,0.0042,0.4579
