,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
336,600900,长江电力,0.57,24.91,,11.63,,944954.98,24.91,,10-31
337,601199,江南水务,0.5,13.64,8.19,6.25,1.32,11748.08,14.25,,10-31
338,600874,创业环保,0.18,20.0,,6.29,,25442.4,20.57,,10-31
339,603100,川仪股份,0.4,5.26,,10.82,,12697.23,14.35,,10-31
340,600695,绿庭投资,-0.04,-118.18,,-7.36,,-2890.65,-118.83,,10-31
341,600308,华泰股份,0.06,0.0,,1.07,,6713.16,1.58,,10-31
342,600783,鲁信创投,0.43,43.33,,9.72,,31904.27,43.79,,10-31
343,600360,华微电子,0.04,-33.33,,1.38,,2681.87,-36.71,,10-31
344,600240,华业资本,0.32,60.94,,12.59,,46195.0,61.34,,10-31
345,000338,潍柴动力,2.22,64.44,,15.12,,444543.03,64.35,,10-31
346,002158,汉钟精机,0.56,32.28,,16.61,,14868.52,32.29,,10-31
347,600234,*ST山水,-0.06,-33.33,,-34.72,,-1303.57,-30.64,,10-31
348,601186,中国铁建,0.61,7.02,,8.43,,749768.8,7.06,,10-31
349,600644,乐山电力,0.13,174.59,,3.69,,4678.52,193.66,,10-31
350,600088,中视传媒,0.12,-18.31,,3.44,,3855.29,-18.27,,10-31
351,000800,一汽轿车,0.15,-68.37,,2.82,,24628.09,-68.37,,10-31
352,600732,*ST新梅,0.01,-138.86,,0.01,,335.72,-138.96,,10-31
353,600892,大晟文化,0.0,-93.79,,0.72,,16.87,-93.85,,10-31
354,600975,新五丰,-0.17,-666.67,,-7.32,,-3927.06,-696.19,,10-31
355,600241,时代万恒,-0.14,-322.91,,-5.95,,-2595.32,-299.25,,10-31
356,600290,华仪电气,0.19,601.11,,5.08,,10010.86,600.52,,10-31
357,600315,上海家化,1.08,-5.26,,20.65,,72809.78,16.9,,10-31
358,000620,新华联,0.14,-48.15,,6.83,,22550.85,-47.27,,10-31
359,600778,友好集团,0.26,-75.45,5.41,4.76,1.5,8032.34,-75.46,,10-31
360,600108,亚盛集团,0.09,-24.51,,3.66,,18107.51,-24.5,,10-31
361,600689,上海三毛,0.37,-934.09,2.05,20.06,,7380.3,-925.25,,10-31
362,600652,游久游戏,-0.17,-1800.0,,-10.46,,-9524.12,-2187.61,,10-31
363,600130,波导股份,0.06,20.0,,5.12,,4327.75,12.64,,10-31
364,600735,新华锦,0.15,4.29,,6.03,,3661.22,4.32,,10-31
365,601010,文峰股份,0.44,22.22,,8.53,,32497.91,22.73,,10-31
366,000518,四环生物,0.03,1368.42,,4.16,,2868.5,1348.14,,10-31
367,600874,创业环保,0.18,20.0,,6.29,,25442.4,20.57,,10-31
368,603100,川仪股份,0.4,5.26,,10.82,,12697.23,14.35,,10-31
369,600695,绿庭投资,-0.04,-118.18,,-7.36,,-2890.65,-118.83,,10-31
370,600308,华泰股份,0.06,0.0,,1.07,,6713.16,1.58,,10-31
371,600783,鲁信创投,0.43,43.33,,9.72,,31904.27,43.79,,10-31
372,600360,华微电子,0.04,-33.33,,1.38,,2681.87,-36.71,,10-31
373,600240,华业资本,0.32,60.94,,12.59,,46195.0,61.34,,10-31
374,000338,潍柴动力,2.22,64.44,,15.12,,444543.03,64.35,,10-31
375,002158,汉钟精机,0.56,32.28,,16.61,,14868.52,32.29,,10-31
376,600234,*ST山水,-0.06,-33.33,,-34.72,,-1303.57,-30.64,,10-31
377,601186,中国铁建,0.61,7.02,,8.43,,749768.8,7.06,,10-31
378,600644,乐山电力,0.13,174.59,,3.69,,4678.52,193.66,,10-31
379,600088,中视传媒,0.12,-18.31,,3.44,,3855.29,-18.27,,10-31
380,000800,一汽轿车,0.15,-68.37,,2.82,,24628.09,-68.37,,10-31
381,600732,*ST新梅,0.01,-138.86,,0.01,,335.72,-138.96,,10-31
382,600892,大晟文化,0.0,-93.79,,0.72,,16.87,-93.85,,10-31
383,600900,长江电力,0.57,24.91,,11.63,,944954.98,24.91,,10-31
384,601199,江南水务,0.5,13.64,8.19,6.25,1.32,11748.08,14.25,,10-31
385,600290,华仪电气,0.19,601.11,,5.08,,10010.86,600.52,,10-31
386,600315,上海家化,1.08,-5.26,,20.65,,72809.78,16.9,,10-31
387,000620,新华联,0.14,-48.15,,6.83,,22550.85,-47.27,,10-31
388,600778,友好集团,0.26,-75.45,5.41,4.76,1.5,8032.34,-75.46,,10-31
389,000712,锦龙股份,0.34,466.67,,13.05,,30398.28,437.39,,10-31
390,600158,中体产业,0.08,-16.35,,4.54,,6608.34,-16.32,,10-31
391,600007,中国国贸,0.43,30.3,,8.62,,42913.66,29.26,,10-31
392,600033,福建高速,0.18,11.12,2.8,6.59,0.51,49922.63,11.15,,10-31
393,600623,华谊集团,0.25,-4.63,,7.84,,21957.79,-4.57,,10-31
394,600071,凤凰光学,-0.16,77.22,,-6.6,,-3788.15,77.23,,10-31
395,002024,苏宁云商,-0.14,-275.0,,-3.74,,-104125.2,-266.47,,10-31
396,601177,杭齿前进,0.05,-21.29,,1.22,,2101.39,-21.19,,10-31
397,600179,*ST黑化,-0.69,-13900.0,,-150.0,,-26827.31,-14442.07,,10-31
398,002471,中超控股,0.16,-33.33,,5.06,,8151.15,-32.72,,10-31
399,600975,新五丰,-0.17,-666.67,,-7.32,,-3927.06,-696.19,,10-31
400,600241,时代万恒,-0.14,-322.91,,-5.95,,-2595.32,-299.25,,10-31
401,000605,渤海股份,0.17,-830.74,,3.16,,2941.23,-1466.22,,10-31
402,600478,科力远,-0.03,-200.0,,-1.41,,-1381.57,-268.49,,10-31
403,600300,维维股份,0.05,-37.5,,3.41,,8456.39,-37.94,,10-31
404,600320,振华重工,0.02,100.0,,0.55,,8054.49,46.12,,10-31
405,600401,海润光伏,-0.03,-87.46,,-1.9,,-4197.8,-80.99,,10-31
406,600377,宁沪高速,0.41,-4.07,,10.35,,206821.67,-4.05,,10-31
407,600186,莲花健康,-0.12,-25.82,0.43,-24.86,-0.02,-12908.53,-25.8,,10-31
408,600355,精伦电子,-0.05,-54.55,,-3.15,,-1276.75,-53.5,,10-31
409,600452,涪陵电力,0.33,-5.71,,11.56,,5265.44,-6.96,,10-31
410,600600,青岛啤酒,1.61,0.69,,14.57,,217949.15,0.67,,10-31
411,600485,信威集团,0.0,-94.55,,0.06,,303.71,-0.45,,10-31
412,600428,中远航运,0.11,-552.0,,2.91,,19177.9,-548.19,,10-31
413,600015,华夏银行,1.48,18.4,10.81,14.47,-5.06,1317700.0,18.39,,10-31
414,600598,北大荒,0.68,1112.5,,22.0,,120758.32,1114.67,,10-31
415,601989,中国重工,0.13,-27.37,,3.91,,219835.68,-16.32,,10-31
416,600054,黄山旅游,0.45,39.99,,10.03,,21354.16,40.01,,10-31
417,000880,潍柴重机,0.15,7.14,,3.31,,4056.43,7.27,,10-31
418,600107,美尔雅,-0.02,-155.17,,-1.06,,-559.22,-152.91,,10-31
419,600651,飞乐音响,0.04,-28.0,,2.26,,2680.77,-27.19,,10-31
420,600088,中视传媒,0.12,-18.31,,3.44,,3855.29,-18.27,,10-31
421,000800,一汽轿车,0.15,-68.37,,2.82,,24628.09,-68.37,,10-31
422,600732,*ST新梅,0.01,-138.86,,0.01,,335.72,-138.96,,10-31
423,600892,大晟文化,0.0,-93.79,,0.72,,16.87,-93.85,,10-31
424,600900,长江电力,0.57,24.91,,11.63,,944954.98,24.91,,10-31
425,601199,江南水务,0.5,13.64,8.19,6.25,1.32,11748.08,14.25,,10-31
426,600290,华仪电气,0.19,601.11,,5.08,,10010.86,600.52,,10-31
427,600315,上海家化,1.08,-5.26,,20.65,,72809.78,16.9,,10-31
428,000620,新华联,0.14,-48.15,,6.83,,22550.85,-47.27,,10-31
429,600778,友好集团,0.26,-75.45,5.41,4.76,1.5,8032.34,-75.46,,10-31
430,000712,锦龙股份,0.34,466.67,,13.05,,30398.28,437.39,,10-31
431,600158,中体产业,0.08,-16.35,,4.54,,6608.34,-16.32,,10-31
432,600007,中国国贸,0.43,30.3,,8.62,,42913.66,29.26,,10-31
433,600033,福建高速,0.18,11.12,2.8,6.59,0.51,49922.63,11.15,,10-31
434,600623,华谊集团,0.25,-4.63,,7.84,,21957.79,-4.57,,10-31
435,600071,凤凰光学,-0.16,77.22,,-6.6,,-3788.15,77.23,,10-31
436,002024,苏宁云商,-0.14,-275.0,,-3.74,,-104125.2,-266.47,,10-31
437,601177,杭齿前进,0.05,-21.29,,1.22,,2101.39,-21.19,,10-31
438,600179,*ST黑化,-0.69,-13900.0,,-150.0,,-26827.31,-14442.07,,10-31
439,002471,中超控股,0.16,-33.33,,5.06,,8151.15,-32.72,,10-31
440,600975,新五丰,-0.17,-666.67,,-7.32,,-3927.06,-696.19,,10-31
441,600241,时代万恒,-0.14,-322.91,,-5.95,,-2595.32,-299.25,,10-31
442,000605,渤海股份,0.17,-830.74,,3.16,,2941.23,-1466.22,,10-31
443,600478,科力远,-0.03,-200.0,,-1.41,,-1381.57,-268.49,,10-31
444,600300,维维股份,0.05,-37.5,,3.41,,8456.39,-37.94,,10-31
445,600320,振华重工,0.02,100.0,,0.55,,8054.49,46.12,,10-31
446,600401,海润光伏,-0.03,-87.46,,-1.9,,-4197.8,-80.99,,10-31
447,600377,宁沪高速,0.41,-4.07,,10.35,,206821.67,-4.05,,10-31
448,600186,莲花健康,-0.12,-25.82,0.43,-24.86,-0.02,-12908.53,-25.8,,10-31
449,600355,精伦电子,-0.05,-54.55,,-3.15,,-1276.75,-53.5,,10-31
450,600452,涪陵电力,0.33,-5.71,,11.56,,5265.44,-6.96,,10-31
451,600600,青岛啤酒,1.61,0.69,,14.57,,217949.15,0.67,,10-31
452,600485,信威集团,0.0,-94.55,,0.06,,303.71,-0.45,,10-31
453,600428,中远航运,0.11,-552.0,,2.91,,19177.9,-548.19,,10-31
454,600015,华夏银行,1.48,18.4,10.81,14.47,-5.06,1317700.0,18.39,,10-31
455,600598,北大荒,0.68,1112.5,,22.0,,120758.32,1114.67,,10-31
456,601989,中国重工,0.13,-27.37,,3.91,,219835.68,-16.32,,10-31
457,600054,黄山旅游,0.45,39.99,,10.03,,21354.16,40.01,,10-31
458,000880,潍柴重机,0.15,7.14,,3.31,,4056.43,7.27,,10-31
459,600107,美尔雅,-0.02,-155.17,,-1.06,,-559.22,-152.91,,10-31
460,600651,飞乐音响,0.04,-28.0,,2.26,,2680.77,-27.19,,10-31
461,601519,大智慧,0.04,-140.74,,2.94,,8710.3,-144.63,,10-31
462,600129,太极集团,0.05,-25.67,,2.03,,2262.36,-25.64,,10-31
463,600250,南纺股份,-0.38,-9.29,,-29.4,,-9722.19,-9.28,,10-31
464,600883,博闻科技,-0.02,86.92,,-0.7,,-473.09,86.47,,10-31
465,600671,天目药业,0.02,-176.92,,2.71,,219.76,-177.18,,10-31
466,600307,酒钢宏兴,-0.02,-152.16,,-0.83,,-13611.52,-154.36,,10-31
467,600810,神马股份,0.15,-1600.0,,2.81,,6529.33,-1331.97,,10-31
468,600359,新农开发,-0.11,-650.0,,-9.0,,-3521.97,-576.88,,10-31
469,600035,楚天高速,0.22,-12.0,,7.42,,26848.8,16.79,,10-31
470,600235,民丰特纸,-0.07,-283.78,,-1.73,,-2404.64,-303.29,,10-31
471,600581,*ST八钢,-1.62,-1257.14,,-40.91,,-124081.62,-1238.43,,10-31
472,600420,现代制药,0.43,41.16,,11.8,,12480.45,41.13,,10-31
473,002007,华兰生物,0.73,19.58,,13.16,,42264.45,20.56,,10-31
474,600020,中原高速,0.24,44.72,,7.36,,53230.19,44.66,,10-31
475,601179,中国西电,0.13,225.0,,3.62,,64485.51,231.85,,10-31
476,600642,申能股份,0.31,-25.12,,6.66,,142287.23,-25.45,,10-31
477,600865,百大集团,0.34,108.64,3.48,10.05,0.01,12727.71,108.72,,10-31
478,000651,格力电器,3.27,29.76,,25.91,,982754.67,29.67,,10-31
479,600136,当代明诚,0.0,57.14,,0.04,,5.53,-22.36,,10-31
480,600727,鲁北化工,0.02,-50.0,,0.79,,816.29,-45.65,,10-31
481,600166,福田汽车,0.11,-42.16,,2.0,,30124.46,-42.17,,10-31
482,600870,厦华电子,-0.43,1122.25,0.01,-292.77,-0.14,-22699.6,1121.56,,10-31
483,600847,万里股份,0.04,-263.87,,0.84,,614.85,-391.75,,10-31
484,601611,中国核建,,,,,,55084.57,,,10-31
485,600960,渤海活塞,0.31,56.33,,5.46,,8473.66,101.89,,10-31
486,600875,东方电气,0.54,-42.55,,6.03,,108935.37,-42.32,,10-31
487,600834,申通地铁,0.17,-8.69,,6.27,,8323.92,-8.83,,10-31
488,600773,西藏城投,0.09,-28.33,,4.55,,4945.23,-28.73,,10-31
489,600091,ST明科,-0.33,50.0,,-28.08,,-11043.78,49.26,,10-31
490,600396,金山股份,0.34,-38.62,,14.81,,28811.25,54.68,,10-31
491,600547,山东黄金,0.42,-47.5,,6.79,,59142.83,-47.77,,10-31
492,000988,华工科技,0.17,70.0,,5.4,,14762.41,58.9,,10-31
493,600031,三一重工,0.21,-46.15,,6.5,,159234.2,-46.52,,10-31
494,600622,嘉宝集团,0.56,43.48,,10.31,,28860.57,43.35,,10-31
495,600654,中安消,0.06,-45.45,,2.98,,4450.77,-45.84,,10-31
496,600860,京城股份,0.21,-333.33,,10.67,,9054.64,-345.4,,10-31
497,600096,云天化,-1.39,173.32,,-21.52,,-157417.46,84.92,,10-31
498,600120,浙江东方,0.8,-11.11,,10.01,,40585.65,-10.87,,10-31
499,603003,龙宇燃油,0.01,-104.7,,0.34,,265.01,-104.71,,10-31
500,600175,美都能源,0.04,-26.79,,3.0,,10061.6,-26.36,,10-31
501,600319,*ST亚星,-0.4,33.33,,,,-12606.44,31.08,,10-31
502,000837,秦川机床,0.0,-106.16,,0.1,,244.21,-111.92,,10-31
503,600755,厦门国贸,0.51,41.67,,11.88,,71966.85,49.06,,10-31
504,600350,山东高速,0.36,5.92,,8.64,,172308.54,5.93,,10-31
505,600381,ST春天,0.78,-167.0,,147.47,,15460.58,-108.32,,10-31
506,600375,*ST星马,0.19,-56.82,,2.58,,10524.81,-47.69,,10-31
507,000410,沈阳机床,0.02,0.0,,0.63,,1685.17,41.7,,10-31
508,000061,农产品,0.04,-1.4,,1.23,,5986.32,0.47,,10-31
509,000993,闽东电力,0.24,-1.09,,5.32,,8817.68,-1.1,,10-31
510,601988,中国银行,0.47,9.3,3.6,13.52,1.48,13113300.0,9.09,,10-31
511,600128,弘业股份,0.18,-0.17,,3.06,,4392.16,-0.17,,10-31
512,600105,永鼎股份,0.33,437.1,,8.01,,12671.25,436.62,,10-31
513,600155,宝硕股份,-0.17,186.44,0.03,-153.32,-0.29,-6965.61,188.15,,10-31
514,600221,海南航空,0.16,-38.0,,6.98,,188784.8,-13.56,,10-31
515,601616,广电电气,0.04,-15.02,,1.59,,4010.48,-15.02,,10-31
516,601288,农业银行,0.47,11.9,2.95,16.76,0.2,15243900.0,10.47,,10-31
517,600273,嘉化能源,0.45,-1225.0,,19.95,,41547.93,-3600.25,,10-31
518,600827,百联股份,0.51,-3.77,,6.63,,87935.0,-3.35,,10-31
519,600850,华东电脑,0.52,51.01,,12.96,,16783.27,51.04,,10-31
520,600306,*ST商城,-0.92,-0.65,,,,-16320.9,-0.62,,10-31
521,600775,南京熊猫,0.1,-41.32,,2.97,,9391.63,-28.33,,10-31
522,600811,东方集团,0.68,36.32,,12.63,,112788.71,36.33,,10-31
523,600022,山东钢铁,-0.15,673.87,,-7.92,,-99101.92,672.68,,10-31
524,600747,大连控股,-0.05,48.57,,-5.27,,-6183.87,68.23,,10-31
525,600211,西藏药业,0.21,125.53,,7.65,,3085.38,126.64,,10-31
526,600416,湘电股份,0.05,66.67,,1.56,,3317.93,99.89,,10-31
527,000058,深赛格,0.06,-17.04,,3.66,,4659.01,-17.11,,10-31
528,600792,云煤能源,0.01,-95.45,,0.16,,535.43,-88.31,,10-31
529,000021,深科技,0.09,-18.96,,2.79,,13715.9,-9.57,,10-31
530,000862,银星能源,-0.04,-78.22,,-2.01,,-2623.7,-51.1,,10-31
531,600019,宝钢股份,0.3,7.14,,4.47,,500996.78,7.94,,10-31
532,600613,神奇制药,0.3,36.36,,7.28,,13489.45,131.01,,10-31
533,601866,中海集运,0.06,-139.75,,2.75,,66356.89,-139.74,,10-31
534,600085,同仁堂,0.44,13.62,,11.1,,57946.24,14.19,,10-31
535,600667,太极实业,0.01,400.0,,0.36,,565.66,243.25,,10-31
536,600693,东百集团,0.5,233.24,3.61,15.0,-1.9,17132.5,233.31,,10-31
537,600133,东湖高新,0.18,-117.65,,9.41,,11710.26,-118.76,,10-31
538,601919,中国远洋,-0.06,-70.0,,-2.73,,-65430.62,-67.83,,10-31
539,000403,ST生化,0.44,41.94,,29.14,,11994.72,40.84,,10-31
540,601218,吉鑫科技,0.06,510.0,,2.61,,6034.31,434.96,,10-31
541,600052,浙江广厦,0.51,50900.0,,21.58,,44219.25,37916.06,,10-30
542,002161,远望谷,0.01,-84.62,,0.74,,1050.82,-84.37,,10-30
543,002328,新朋股份,0.13,85.71,,2.7,,5819.13,88.93,,10-30
544,600332,白云山,0.66,15.88,5.72,12.25,1.44,85684.23,17.66,,10-30
545,000597,东北制药,0.16,-166.26,,3.83,,5863.41,-172.19,,10-30
546,600075,新疆天业,0.1,-137.04,,2.86,,4356.66,-136.62,,10-30
547,002231,奥维通信,-0.04,-7.66,,-2.16,,-1376.96,-7.71,,10-30
548,600295,鄂尔多斯,0.26,-35.0,,3.87,,26486.49,-36.31,,10-30
549,002097,山河智能,0.03,-79.64,,0.67,,1145.65,-78.12,,10-30
550,600728,佳都科技,0.02,-130.34,,1.07,,1165.12,-141.82,,10-30
551,002266,浙富控股,0.05,0.0,,2.99,,7003.93,-3.7,,10-30
552,600531,豫光金铅,0.07,-105.83,,1.54,,2085.06,-105.86,,10-30
553,600562,国睿科技,0.35,12.9,,11.12,,8932.33,109.51,,10-30
554,002036,联创电子,0.05,0.0,,3.29,,1095.31,16.09,,10-30
555,600468,百利电气,0.05,6.46,,3.58,,2180.75,6.38,,10-30
556,601688,华泰证券,0.47,42.42,,7.1,,264477.17,42.54,,10-30
557,000901,航天科技,0.06,-23.86,,1.89,,1588.57,-23.91,,10-30
558,600677,航天通信,-0.06,-141.25,,-1.31,,-2329.86,-152.71,,10-30
559,002549,凯美特气,0.12,9.09,,5.8,,4753.41,3.32,,10-30
560,600119,长江投资,0.1,-12.28,,4.26,,3205.02,-8.57,,10-30
561,002005,德豪润达,0.05,31.5,,1.66,,7045.39,40.16,,10-30
