,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
1926,002269,美邦服饰,1.3733,0.7036,36.566,26.5633,47.893,52.107
1927,600639,浦东金桥,0.8894,0.3885,27.9366,831.4654,47.8754,52.1246
1928,000977,浪潮信息,1.7,1.1299,10.9908,702.6367,47.8478,52.1522
1929,603569,长久物流,1.561,1.5606,61.6884,14288.0802,47.8376,52.1624
1930,000725,京东方A,2.9174,2.6499,165.4729,56.98,47.8257,52.1743
1931,002093,国脉科技,2.2793,0.6623,23.2572,367.1322,47.8212,52.1788
1932,600152,维科精华,1.0662,0.8393,26.4914,-480.5364,47.8126,52.1874
1933,601139,深圳燃气,0.5720000000000001,0.5329999999999999,37.2858,1104.7599,47.8093,52.1907
1934,000417,合肥百货,1.0915,0.8056,60.2525,21206.8856,47.8079,52.1921
1935,000520,长航凤凰,1.8446,1.7749,38.5388,5284.187,47.7819,52.2181
1936,300325,德威新材,1.6248,1.4681,59.2017,289.2136,47.7113,52.2887
1937,000573,粤宏远A,1.5986,0.5374,39.819,192.8411,47.6907,52.3093
1938,603618,杭电股份,1.5871,1.1035,19.7798,748.39,47.6905,52.3095
1939,600481,双良节能,1.9786,1.7536,79.9696,262.4121,47.6881,52.3119
1940,002422,科伦药业,1.022,0.8124,22.2862,447.1518,47.6573,52.3427
1941,600827,百联股份,0.8678,0.7093,50.9393,-1063.9244,47.6413,52.3587
1942,300415,伊之密,1.1146,0.6364,13.8444,887.8243,47.64,52.36
1943,600505,西昌电力,0.4895,0.4491,26.1524,126.2255,47.6313,52.3687
1944,600548,深高速,1.2557,1.1101,69.3187,419.2293,47.5896,52.4104
1945,000949,新乡化纤,1.0007,0.6139,30.0842,206.0946,47.586,52.414
1946,600879,航天电子,1.5165,0.7734,11.5427,455.0901,47.5839,52.4161
1947,002423,*ST中特,0.878,0.6344,16.457,-227.8023,47.5808,52.4192
1948,002510,天汽模,1.5482,0.9293,35.3427,733.3119,47.565,52.435
1949,600277,亿利洁能,1.1515,1.0687,43.9847,190.28900000000002,47.5586,52.4414
1950,000525,红太阳,0.9192,0.6465,30.6444,223.1439,47.5059,52.4941
1951,600979,广安爱众,1.4738,1.3372,68.9741,317.0263,47.5022,52.4978
1952,002234,民和股份,1.3159999999999998,0.8849,73.1332,816.1607,47.4945,52.5055
1953,600112,天成控股,0.78,0.6157,12.1658,133.7316,47.4927,52.5073
1954,600269,赣粤高速,1.0456,0.8622,74.8008,392.4706,47.4888,52.5112
1955,300393,中来股份,1.3957,1.1744,25.041,769.7644,47.4639,52.5361
1956,002091,江苏国泰,1.5337,1.2518,33.8415,1787.6723,47.4627,52.5373
1957,600035,楚天高速,0.5788,0.5759,44.5692,393.9911,47.3994,52.6006
1958,002009,天奇股份,1.3215,0.9734,35.3225,580.8953,47.3933,52.6067
1959,300370,安控科技,1.146,0.8221,9.761000000000001,-72.9392,47.3668,52.6332
1960,600352,浙江龙盛,2.7585,1.0706,35.0103,1302.6897,47.3064,52.6936
1961,002468,艾迪西,1.2683,0.8724,41.2552,145.0876,47.2725,52.7275
1962,600158,中体产业,1.9434,0.5127,21.8771,-432.0639,47.2098,52.7902
1963,601808,中海油服,1.1486,1.079,42.4838,-1960.276,47.2063,52.7937
1964,600019,宝钢股份,0.9139,0.6782,16.1383,534.137,47.2035,52.7965
1965,000789,万年青,0.9798,0.8514,39.0792,289.96,47.2034,52.7966
1966,000153,丰原药业,0.8662,0.6195,11.838,360.0042,47.1811,52.8189
1967,300363,博腾股份,0.848,0.5682,21.5594,916.9568,47.1613,52.8387
1968,002445,中南文化,1.3057,0.9659,22.3233,325.3473,47.1368,52.8632
1969,000903,云内动力,1.5846,1.3074,62.5812,530.9769,47.1353,52.8647
1970,600605,汇通能源,1.347,1.3434,10.1703,208.5458,47.1237,52.8763
1971,300135,宝利国际,1.5029,1.3188,47.6876,180.4625,47.108,52.892
1972,002705,新宝股份,1.2072,0.9569,36.4277,-1320.6611,47.1065,52.8935
1973,600986,科达股份,1.2459,0.7559,29.7736,1929.1597,47.0545,52.9455
1974,300540,深冷股份,1.7439,1.5884,9.8957,2041.8753,47.0125,52.9875
1975,000012,南玻A,0.3805,0.3133,6.6867,507.2971,47.0123,52.9877
1976,300526,中潜股份,0.9379,0.5857,14.8945,461.8978,46.9937,53.0063
1977,000506,中润资源,1.5333,0.958,7.2528,-1706.941,46.9641,53.0359
1978,002371,七星电子,1.4639,0.8887,17.6204,608.5677,46.939,53.061
1979,603017,中衡设计,0.9812,0.9812,18.8885,3032.7639,46.9039,53.0961
