,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
384,000510,金路集团,46.3891,7.7604,5.209,69.1112,2.0083,179.2561
385,600803,新奥股份,14.8285,24.2776,5.2039,69.1789,1.0373,347.0549
386,002581,未名医药,4.3517,82.7263,5.1932,69.3214,0.3041,1183.8211
387,002110,三钢闽光,502268.056,0.0007,5.1885,69.3842,2.7773,129.6223
388,600138,中青旅,3.9196,91.8461,5.1606,69.7593,1.2638,284.8552
389,600287,江苏舜天,8.4971,42.3674,5.145,69.9708,0.9074,396.7379
390,000419,通程控股,150.6824,2.3891,5.1413,70.0212,1.1983,300.4256
391,300196,长海股份,3.2158,111.9473,5.1225,70.2782,1.1457,314.2184
392,300428,四通新材,4.3025,83.6723,5.0947,70.6617,1.1611,310.0508
393,601016,节能风电,1.2537,287.15,5.0869,70.77,0.4543,792.4279
394,002128,露天煤业,1.4443,249.2557,5.077,70.908,0.7859,458.0735
395,600166,福田汽车,4.7781,75.3438,5.0606,71.1378,1.4189,253.7177
396,600023,浙能电力,4.5835,78.5426,5.0497,71.2914,1.0481,343.4787
397,600403,大有能源,3.0817,116.8186,5.0334,71.5222,0.7238,497.375
398,601888,中国国旅,9.7922,36.764,5.0263,71.6233,0.8833,407.5625
399,600818,中路股份,8.4545,42.5809,5.001,71.9856,1.1735,306.7746
400,000789,万年青,6.2412,57.6812,4.9868,72.1906,1.1281,319.1206
401,601101,昊华能源,7.254,49.6278,4.9729,72.3924,0.7735,465.4169
402,600532,宏达矿业,46.0339,7.8203,4.9567,72.629,0.8915,403.8138
403,600722,金牛化工,41.3672,8.7025,4.955,72.6539,1.0345,347.9942
404,000049,德赛电池,1.6248,221.5657,4.9375,72.9114,0.8901,404.4489
405,600028,中国石化,16.4216,21.9223,4.9253,73.092,3.4172,105.3494
406,002652,扬子新材,8.7381,41.1989,4.9161,73.2288,1.0264,350.7405
407,300366,创意信息,0.7507,479.5524,4.9046,73.4005,0.3703,972.1847
408,600828,茂业商业,126.9597,2.8355,4.8805,73.7629,2.6579,135.4453
409,600979,广安爱众,7.9928,45.0405,4.8784,73.7947,0.8919,403.6327
410,300015,爱尔眼科,9.3357,38.5617,4.874,73.8613,1.0369,347.1887
411,002033,丽江旅游,20.5286,17.5365,4.8707,73.9113,0.3722,967.2219
412,600459,贵研铂业,9.533,37.7636,4.8545,74.158,1.5673,229.6944
413,002274,华昌化工,10.7704,33.4249,4.8468,74.2758,1.3093,274.9561
414,601880,大连港,5.2005,69.2241,4.8174,74.7291,0.705,510.6383
415,002276,万马股份,1.2142,296.4915,4.8088,74.8628,0.7377,488.0033
416,002311,海大集团,16.6459,21.6269,4.8051,74.9204,2.116,170.1323
417,002436,兴森科技,1.7806,202.179,4.7916,75.1315,1.0988,327.6301
418,002295,精艺股份,3.4272,105.042,4.7847,75.2398,1.1204,321.3138
419,300349,金卡股份,1.195,301.2552,4.7803,75.3091,0.3772,954.4008
420,600801,华新水泥,7.7585,46.4007,4.7773,75.3564,1.1675,308.3512
421,000698,沈阳化工,120.8353,2.9793,4.77,75.4717,1.3757,261.685
422,601933,永辉超市,192.4933,1.8702,4.7372,75.9943,2.3326,154.3342
423,000635,英力特,34.7265,10.3667,4.7228,76.226,1.2374,290.9326
424,000529,广弘控股,25.1348,14.3228,4.7126,76.391,1.2395,290.4397
425,601088,中国神华,5.3835,66.871,4.667,77.1373,0.9356,384.7798
426,000629,*ST钒钛,7.0762,50.8748,4.6663,77.1489,1.2055,298.6313
427,300335,迪森股份,3.0307,118.7844,4.6653,77.1655,0.4872,738.9163
428,600178,东安动力,1.1352,317.1247,4.6617,77.225,0.3587,1003.6242
429,300002,神州泰岳,1.3517,266.3313,4.6524,77.3794,0.4799,750.1563
430,600686,金龙汽车,1.3168,273.39,4.6151,78.0048,0.6906,521.2858
431,600022,山东钢铁,59.0657,6.0949,4.6074,78.1352,2.3871,150.8106
432,600073,上海梅林,9.1468,39.358,4.5896,78.4382,1.7267,208.4902
433,000959,首钢股份,27.1752,13.2474,4.589,78.4485,1.7574,204.8481
434,000078,海王生物,1.3241,271.8828,4.587,78.4827,0.6606,544.9591
435,300128,锦富新材,2.3633,152.3294,4.5833,78.546,0.8691,414.2216
436,601000,唐山港,13.0977,27.4857,4.5802,78.5992,0.8664,415.5125
437,000720,新能泰山,2.8054,128.3239,4.5766,78.661,1.4704,244.8313
438,600230,*ST沧大,1347.7516,0.2671,4.5635,78.8868,1.3079,275.2504
439,600740,山西焦化,3.1616,113.8664,4.5539,79.0531,0.6818,528.0141
440,300303,聚飞光电,1.4108,255.1744,4.5463,79.1853,0.5082,708.3825
441,000333,美的集团,7.4855,48.093,4.5414,79.2707,1.0261,350.843
442,002221,东华能源,13.1983,27.2762,4.5383,79.3249,1.0677,337.1734
443,000921,海信科龙,5.6826,63.3513,4.5292,79.4842,1.642,219.2448
444,600754,锦江股份,17.6241,20.4266,4.4913,80.155,1.6198,222.2497
445,600489,中金黄金,91.1049,3.9515,4.4836,80.2926,2.3173,155.3532
446,002116,中国海诚,4.4049,81.7272,4.4809,80.341,1.0076,357.2846
447,000868,安凯客车,2.2289,161.5146,4.48,80.3571,0.676,532.5444
448,000409,山东地矿,2.4454,147.2152,4.4758,80.4325,0.4495,800.8899
449,002155,湖南黄金,13.862,25.9703,4.4732,80.4793,1.5444,233.1002
450,600101,明星电力,56.9874,6.3172,4.4625,80.6723,1.2704,283.3753
451,600508,上海能源,8.4114,42.7991,4.4492,80.9134,1.2158,296.1013
452,002597,金禾实业,13.1166,27.4461,4.449,80.9171,1.1445,314.5478
453,002617,露笑科技,2.5732,139.9036,4.4464,80.9644,0.9602,374.9219
454,600421,仰帆控股,3.4764,103.5554,4.4431,81.0245,0.3759,957.7015
455,002242,九阳股份,21.385,16.8342,4.4338,81.1945,0.8225,437.69
456,300339,润和软件,1.312,274.3902,4.4318,81.2311,0.3721,967.4819
457,600601,方正科技,2.4639,146.1098,4.424,81.3743,0.7379,487.871
458,002369,卓翼科技,5.0794,70.8745,4.4236,81.3817,1.051,342.5309
459,601238,广汽集团,11.4991,31.3068,4.4189,81.4682,0.4231,850.8627
460,600387,海越股份,153.4281,2.3464,4.4005,81.8089,1.2062,298.458
461,600691,阳煤化工,12.0049,29.9878,4.3933,81.943,0.8364,430.4161
462,000545,金浦钛业,10.4298,34.5165,4.3817,82.1599,0.8153,441.5553
463,600186,莲花健康,1.8857,190.9105,4.3793,82.2049,0.763,471.8218
464,600676,交运股份,5.0129,71.8147,4.3762,82.2632,1.3685,263.0617
465,000677,恒天海龙,5.6134,64.1323,4.3756,82.2744,0.8969,401.3825
466,600600,青岛啤酒,61.901,5.8157,4.3691,82.3968,1.3212,272.4796
467,600310,桂东电力,2.4765,145.3664,4.3665,82.4459,0.5326,675.9294
468,600585,海螺水泥,78.3377,4.5955,4.3584,82.5991,1.2132,296.7359
469,002444,巨星科技,1.6284,221.0759,4.3508,82.7434,0.3952,910.9312
470,002035,华帝股份,10.8643,33.1361,4.3498,82.7624,1.4299,251.7659
471,600668,尖峰集团,5.4275,66.3289,4.3324,83.0948,1.6143,223.0069
472,000778,新兴铸管,23.6198,15.2414,4.3283,83.1735,1.2666,284.2255
473,601127,小康股份,28.4583,12.6501,4.3254,83.2293,0.807,446.0967
474,600207,安彩高科,2.993,120.2807,4.3231,83.2736,0.7333,490.9314
475,300245,天玑科技,1.3153,273.7018,4.3189,83.3546,0.311,1157.5563
476,002610,爱康科技,1.2724,282.9299,4.3183,83.3661,0.5022,716.8459
477,000598,兴蓉环境,2.8951,124.348,4.3113,83.5015,0.5733,627.9435
478,300411,金盾股份,0.5358,671.8925,4.3078,83.5693,0.409,880.1956
479,000963,华东医药,3.1902,112.8456,4.301,83.7015,1.4156,254.3091
480,002497,雅化集团,4.0412,89.0825,4.3008,83.7054,0.7823,460.1815
481,600841,上柴股份,4.6268,77.8076,4.2932,83.8535,0.4403,817.6243
482,600747,大连控股,25.4223,14.1608,4.288,83.9552,0.2784,1293.1034
483,002455,百川股份,5.7319,62.8064,4.2757,84.1967,1.2265,293.5181
484,600898,三联商社,15.9826,22.5245,4.2509,84.6879,0.9255,388.9789
485,300405,科隆精化,2.1805,165.0997,4.2489,84.7278,0.8245,436.6283
486,000935,四川双马,3.4001,105.8792,4.2483,84.7398,0.9327,385.9762
487,002139,拓邦股份,1.8693,192.5855,4.2416,84.8736,0.8493,423.8785
488,002540,亚太科技,2.6089,137.9892,4.2328,85.0501,0.6215,579.2438
489,002264,新华都,312.1958,1.1531,4.2237,85.2333,2.0244,177.8305
490,603010,万盛股份,3.3947,106.0477,4.2229,85.2495,1.1761,306.0964
491,002226,江南化工,2.3212,155.0922,4.216,85.389,0.5852,615.1743
492,600157,永泰能源,1.2629,285.0582,4.2132,85.4457,0.3256,1105.6511
493,300208,恒顺众昇,1.7347,207.5287,4.2003,85.7082,0.4774,754.0846
494,000800,一汽轿车,90.2331,3.9897,4.1993,85.7286,1.3448,267.6978
495,601929,吉视传媒,6.8399,52.6323,4.198,85.7551,0.8747,411.5697
496,600768,宁波富邦,13.8728,25.9501,4.1931,85.8553,1.1284,319.0358
497,000885,同力水泥,24.1369,14.9149,4.1885,85.9496,2.1143,170.2691
498,000976,春晖股份,12.8157,28.0905,4.1879,85.9619,1.3882,259.3286
499,000895,双汇发展,120.7694,2.9809,4.1714,86.302,2.6258,137.1011
500,600887,伊利股份,65.7285,5.4771,4.16,86.5385,1.4228,253.0222
501,002713,东易日盛,10.2682,35.0597,4.1527,86.6906,0.6501,553.761
502,002462,嘉事堂,1.6069,224.0339,4.1516,86.7136,0.9392,383.3049
503,600869,智慧能源,1.5473,232.6633,4.1499,86.7491,0.6837,526.5467
504,000690,宝新能源,4.9009,73.4559,4.1376,87.007,0.7785,462.4277
505,603568,伟明环保,1.8646,193.0709,4.1311,87.1439,0.8709,413.3655
